city,country,lat,lng,temp,humidity,cloudiness,windspeed,cityname,dt
Carnarvon,AU,-24.87,113.63,68.92,63,41,18.68,Carnarvon,1590364235
Kununurra,AU,-15.77,128.73,68.0,42,43,5.82,Kununurra,1590364235
Macaíba,BR,-5.86,-35.35,75.2,100,40,4.7,Macaíba,1590364235
Quelimane,MZ,-17.88,36.89,66.2,93,0,2.24,Quelimane,1590364235
San Francisco del Mar Viejo,MX,16.23,-94.65,84.99,71,0,10.69,San Francisco del Mar Viejo,1590364235
Barcelos,PT,41.54,-8.62,68.0,100,50,2.24,Barcelos,1590364236
Sechura,PE,-5.56,-80.82,72.45,71,60,14.09,Sechura,1590364236
Dwārka,IN,22.24,68.97,82.89,81,0,15.79,Dwārka,1590364236
Kommunar,RU,59.62,30.39,44.6,65,98,4.47,Kommunar,1590364236
Anderson,US,34.53,-82.65,77.0,65,1,6.93,Anderson,1590364236
Torbay,CA,47.67,-52.73,37.99,79,40,12.75,Torbay,1590364236
Adrar,MR,20.5,-10.07,83.97,15,0,8.41,Adrar,1590364236
Büdingen,DE,50.3,9.12,55.99,77,79,15.01,Büdingen,1590364236
Amudat,UG,1.95,34.95,66.7,75,71,2.51,Amudat,1590364236
Wanaka,NZ,-44.7,169.15,50.29,67,100,4.09,Wanaka,1590364115
Solkan,SI,45.97,13.65,57.99,70,50,3.76,Solkan,1590364237
Juneau,US,58.3,-134.42,52.0,81,90,4.7,Juneau,1590364237
Atyrau,KZ,47.12,51.88,55.4,62,40,13.42,Atyrau,1590364237
Korem,ET,12.51,39.52,57.34,53,0,1.32,Korem,1590364237
Alugan,PH,12.22,125.48,84.63,78,90,8.75,Alugan,1590364237
Bonoua,CI,5.27,-3.6,82.4,88,20,8.05,Bonoua,1590364237
Wadi Maliz,TN,36.47,8.55,69.8,43,39,3.36,Wadi Maliz,1590364237
Shubarkuduk,KZ,49.14,56.49,70.0,47,0,7.2,Shubarkuduk,1590364237
Mountain Home,US,43.13,-115.69,71.6,14,1,14.99,Mountain Home,1590364237
Belturbet,IE,54.1,-7.45,44.1,94,16,3.83,Belturbet,1590364238
Solnechnyy,RU,50.72,136.63,50.04,55,61,8.52,Solnechnyy,1590364238
Chute-aux-Outardes,CA,49.12,-68.4,51.8,50,75,3.36,Chute-aux-Outardes,1590364238
Statesville,US,35.78,-80.89,69.8,88,40,4.68,Statesville,1590364238
Biak,ID,-0.91,122.88,81.36,79,72,5.55,Biak,1590364238
Oxapampa,PE,-10.58,-75.4,58.73,92,100,0.54,Oxapampa,1590364238
Todos Santos,MX,23.45,-110.22,68.0,79,0,5.01,Todos Santos,1590364238
Port Blair,IN,11.67,92.75,83.34,81,100,8.37,Port Blair,1590364238
El Bagre,CO,7.59,-74.81,81.79,86,50,1.97,El Bagre,1590364239
Jiazi,CN,22.88,116.07,77.63,82,74,6.08,Jiazi,1590364239
Requena,ES,39.49,-1.1,60.01,84,82,2.53,Requena,1590364239
Macclesfield,GB,53.26,-2.13,51.01,87,33,3.36,Macclesfield,1590364239
São Sebastião,BR,-23.76,-45.41,65.21,67,98,3.96,São Sebastião,1590364239
Porto-Novo,BJ,6.5,2.6,82.4,88,40,11.41,Porto-Novo,1590364239
Marawi,PH,8.0,124.29,81.0,79,69,3.0,Marawi,1590364239
George Town,MY,5.41,100.34,78.8,94,20,3.36,George Town,1590364239
Natá,PA,8.33,-80.52,82.99,57,96,2.28,Natá,1590364239
Whitehorse,CA,60.72,-135.05,57.99,36,75,14.99,Whitehorse,1590364240
Clyde River,CA,70.47,-68.59,24.8,85,1,11.41,Clyde River,1590364240
Kavieng,PG,-2.57,150.8,84.45,70,75,4.09,Kavieng,1590364240
